04202305000001EAJ-PNV                                           EUZKO ALDERDI JELTZALEA- PARTIDO NACIONALISTA VASCO                                                                                                   000001000001000001
04202305000002EH BILDU                                          EUSKAL HERRIA BILDU                                                                                                                                   000002000002000002
04202305000003PSE-EE (PSOE)                                     PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE)                                                                                                000003000003000030
04202305000004PODEMOS, EZKER ANITZA / IU, ALIANZA VERDE         ELKARREKIN PODEMOS - EZKER ANITZA / IU - ALIANZA VERDE                                                                                                000010000010000010
04202305000005DTI-AIA                                           AGRUPACION INDEPENDIENTE DE ALEGRIA/DULANTZIKO TALDE INDEPENDIENTEA                                                                                   000005000005000005
04202305000006PP                                                PARTIDO POPULAR                                                                                                                                       000006000006000006
04202305000007VOX                                               VOX                                                                                                                                                   000007000007000007
04202305000008PSE-EE (PSOE)                                     PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE)                                                                                                000003000003000030
04202305000009AHORA AMURRIO/ORAIN AMURRIO                       AHORA AMURRIO/ORAIN AMURRIO                                                                                                                           000009000009000009
04202305000010PODEMOS, EZKER ANITZA / IU, BERDEAK EQUO, ALIANZA ELKARREKIN                                                                                                                                            000010000010000010
04202305000011GOAZEN                                            GOAZEN BIZILAGUNAK ARRATZUA-UBARRUNDIA                                                                                                                000011000011000011
04202305000012AIARA BATUZ                                       AIARA BATUZ - TRABAJANDO POR LOS PUEBLOS                                                                                                              000012000012000012
04202305000013KAIXO                                             AGRUPACIÓN DE ELECTORES KAIXO                                                                                                                         000013000013000013
04202305000014ANDAGOSTES                                        ANDAGOSTES                                                                                                                                            000014000014000014
04202305000015Z B                                               ZIEKO BAI                                                                                                                                             000015000015000015
04202305000016LPA                                               LAPUEBLA AVANZA-LAPUEBLA AURRERANTZ                                                                                                                   000016000016000016
04202305000017OMNIA                                             OMNIA                                                                                                                                                 000017000017000017
04202305000018OA                                                AGRUPACIÓN DE ELECTORES OKONDO AURRERA                                                                                                                000018000018000018
04202305000019PODEMOS-EZKER ANITZA / IU                         ELKARREKIN PODEMOS - EZKER ANITZA / IU - ALIANZA VERDE                                                                                                000010000010000010
04202305000020AMI/UEI                                           AGRUPACION MUNICIPAL INDEPENDIENTE                                                                                                                    000020000020000020
04202305000021RBB                                               RIBERA BAJA BIZIRIK                                                                                                                                   000021000021000021
04202305000022PODEMOS, EZKER ANITZA / IU, BERDEAK EQUO, ALIANZA ELKARREKIN PODEMOS - EZKER ANITZA / IU - BERDEAK EQUO - ALIANZA VERDE                                                                                 000010000010000010
04202305000023LXE                                               LIBRES POR EUSKADI                                                                                                                                    000023000023000023
04202305000024EB-AZ                                             ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS - AULKI ZURIAK ESERLEKUAK HUTSIK UZTEKO                                                                   000024000270000270
04202305000025O.E.                                              ONGI ETORRI                                                                                                                                           000025000025000025
04202305000026PUM+J                                             POR UN MUNDO MAS JUSTO                                                                                                                                000026000026000026
04202305000027CS                                                CIUDADANOS-PARTIDO DE LA CIUDADANIA                                                                                                                   000027000027000027
04202305000028ZBG - ZNU                                         ZUIAK BATZEN GAITU - ZUIA NOS UNE                                                                                                                     000028000028000028
04202305000029PODEMOS, EZKER ANITZA / IU                        ELKARREKIN PODEMOS - EZKER ANITZA / IU                                                                                                                000010000010000010
04202305000030PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000030000030000030
04202305000031PACMA                                             PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE                                                                                                              000031000031000031
04202305000033PAIS CON GESTORES                                 PAIS CON GESTORES                                                                                                                                     000033000033000033
04202305000034PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ALATOZ                                                                                                           000030000030000030
04202305000035PP                                                PARTIDO POPULAR DE ALATOZ                                                                                                                             000006000006000006
04202305000036UCIN                                              UNION DE CIUDADANOS INDEPENDIENTES                                                                                                                    000036000036000036
04202305000037TÚPATRIA                                          TÚPATRIA                                                                                                                                              000037000037000037
04202305000038U.N.I.S.O                                         UNION SOCIAL DE CENTRO DEMOCRATICO                                                                                                                    000038000038000038
04202305000039UNIDAS - PODEMOS - IU                             UNIDAS PODEMOS - IZQUIERDA UNIDA                                                                                                                      000369000369000369
04202305000040I.U.                                              IZQUIERDA UNIDA                                                                                                                                       000040000040000040
04202305000041PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ALMANSA                                                                                                          000030000030000030
04202305000042PP                                                PARTIDO POPULAR ALMANSA                                                                                                                               000006000006000006
04202305000043I.U.                                              IZQUIERDA UNIDA ALMANSA                                                                                                                               000040000040000040
04202305000044VOX ALMANSA                                       VOX                                                                                                                                                   000007000007000007
04202305000045PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ALPERA                                                                                                           000030000030000030
04202305000046PP                                                PARTIDO POPULAR DE ALPERA                                                                                                                             000006000006000006
04202305000047H.N.                                              HACER NACION                                                                                                                                          000047000047003480
04202305000048PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL DE BONETE                                                                                                           000030000030000030
04202305000049PP                                                PARTIDO POPULAR DE BONETE                                                                                                                             000006000006000006
04202305000050PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL DE CARCELÉN                                                                                                         000030000030000030
04202305000051PP                                                PARTIDO POPULAR DE CARCELÉN                                                                                                                           000006000006000006
04202305000052AICL                                              AGRUPACION INDEPENDIENTE DE CASAS DE LAZARO                                                                                                           000052000052000052
04202305000053UNIDAS - IU - PODEMOS                             UNIDAS POR CASAS-IBÁÑEZ                                                                                                                               000369000369000369
