042023051010400199Abla                                                                                                001301303100001247000020000101500001015000000130000000000000481000006860000000700000019000007740090000000000000000S
042023051010400299Abrucena                                                                                            001301303100001221000020000105300001053000000210000000000000472000006900000001400000014000008040090000000000000000S
042023051010400399Adra                                                                                                002902902700025300000280001772300017723000001920000000000006040000080860000014100000159000098690210000000000000000S
042023051010400499Albanchez                                                                                           005305303100000735000010000047200000472000000850000000000000255000003450000000100000005000004010070000000000000000S
042023051010400599Alboloduy                                                                                           001301300200000615000010000051400000514000000090000000000000229000003450000000500000006000003990070000000000000000S
042023051010400699Albox                                                                                               005305303100012087000130000731200007312000002200000000000002984000040850000002000000045000050390170000000000000000S
042023051010400799Alcolea                                                                                             001301300200000831000010000069400000694000000040000000000000294000004110000000900000009000004740070000000000000000S
042023051010400899Alcóntar                                                                                            005305303100000538000020000047400000475000000050000000000000251000003210000000300000005000004130070000000000000000S
042023051010401099Alhabia                                                                                             001301300200000685000010000059600000596000000110000000000000318000004050000000800000015000004550070000000000000000S
042023051010401199Alhama de Almería                                                                                   001301300200003757000050000286300002863000000780000000000001410000018300000001900000016000022670110000000000000000S
042023051010401399Almería                                                                                             001301300900199237002360014523300145195000005240000000000046708000620850000092500000626000761260270000000000000000S
042023051010401699Antas                                                                                               010010002500003339000040000225500002255000000710000000000001077000014710000002200000014000017300110000000000000000S
042023051010401799Arboleas                                                                                            005305303100004532000030000176200001762000005250000000000000841000011790000000600000006000013870110000000000000000S
042023051010401899Armuña de Almanzora                                                                                 005305303100000313000010000028300000283000000030000000000000154000001940000000700000008000002440070000000000000000S
042023051010402099Bayárcal                                                                                            001301300200000312000010000026800000268000000080000000000000129000001780000000300000005000002010070000000000000000S
042023051010402299Bédar                                                                                               010010002500001009000010000054700000547000001640000000000000288000003570000000400000004000004050090000000000000000S
042023051010402499Benahadux                                                                                           001301300900004605000050000337500003375000000350000000000001550000020870000002100000026000025280110000000000000000S
042023051010402799Benizalón                                                                                           001301303100000253000010000022000000220000000090000000000000098000001290000000600000002000001540070000000000000000S
042023051010402999Berja                                                                                               002902902700012807000150000918600009190000003380000000000003277000046280000007600000089000056590170000000000000000S
042023051010403099Canjáyar                                                                                            001301300200001163000020000098500000983000000040000000000000448000006170000000400000012000007390090000000000000000S
042023051010403199Cantoria                                                                                            005305303100003533000040000242800002428000002400000000000001118000015580000002000000030000019150110000000000000000S
042023051010403299Carboneras                                                                                          010010002500008210000110000597400005956000001060000000000002143000030390000004800000099000044150130000000000000000S
042023051010403599Cuevas del Almanzora                                                                                010010002500014790000150000877800008549000001870000000000003658000051480000004900000087000060950170000000000000000S
042023051010403699Chercos                                                                                             005305303100000301000010000026200000262000000070000000000000131000001990000000200000000000002260070000000000000000S
042023051010403799Chirivel                                                                                            005305300300001511000030000121500001215000000160000000000000604000008370000001100000006000009490090000000000000000S
042023051010403899Dalías                                                                                              002902902700004141000050000315600003156000000200000000000001278000017400000002700000031000020780110000000000000000S
042023051010404199Enix                                                                                                001301302700000554000010000043400000434000000080000000000000214000002550000000500000000000002990070000000000000000S
042023051010404399Felix                                                                                               001301302700000697000010000064300000643000000400000000000000380000004850000000100000004000005560070000000000000000S
042023051010404499Fines                                                                                               005305303100002161000030000166800001668000001400000000000000740000010780000001400000017000012690110000000000000000S
042023051010404599Fiñana                                                                                              001301303100001978000030000167200001673000000210000000000000776000011280000000900000007000013900090000000000000000S
042023051010404699Fondón                                                                                              001301300200001045000020000095800000959000000190000000000000507000006590000000700000005000007740090000000000000000S
042023051010404799Gádor                                                                                               001301300900003018000040000230500002305000000910000000000001104000014250000002200000065000017310110000000000000000S
042023051010404899Los Gallardos                                                                                       010010002500002991000030000176100001762000002290000000000000845000011730000001700000036000013090110000000000000000S
