0820230510100600000105304BEATRIZ                  BENITEZ                  DELGADO                  F00000000          047S
0820230510100600000105304GORKA                    MEANA                    MARCOS                   M00000000          062S
0820230510100600000105304JAVIER                   RAMIREZ                  ASENSIO                  M00000000          062S
0820230510100600000105304JUAN                     MUÑOZ                    BARTOLOMÉ                M00000000          042S
0820230510100600000200800AITOR                    BEZARES                  VARGAS                   M00000000          006N
0820230510100600000200800IÑAKI XABIER             ULLIBARRI                URRACA                   M00000000          006N
0820230510100600000200800RAQUEL                   ROMAN                    HERRAN                   F00000000          014N
0820230510100600000301100IGOR                     SALAZAR                  OCHOA                    M00000000          011N
0820230510100600000602901IÑAKI                    ARRIEN                   TORNOS                   M00000000          015N
0820230510100600000602901JOSÉ MANUEL              GINÉS                    MURIEL                   M00000000          029N
0820230510100600000602901MÓNICA                   MIGUEL                   IZQUIERDO                F00000000          020N
0820230510100600000602901RICARDO                  PURAS                    IZQUIERDO                M00000000          029S
0820230510100600000602901ROSA                     MARCOS                   ÁLVAREZ                  F00000000          026N
0820230510101900000107505ESTHER                   CALLEJA                  RODRIGUEZ                F00000000          031S
0820230510101900000107505GAIZKA                   MARAÑON                  LATORRE                  M00000000          073S
0820230510101900000107505JOSEBA                   FERNANDEZ                CALLEJA                  M00000000          069S
0820230510101900000107505MARIA DEL MAR            CALLEJA                  MARAÑON                  F00000000          068S
0820230510101900000107505OSCAR                    CALLEJA                  VILLATE                  M00000000          062S
0820230510101900000301900JOSE ESTANISLAO          PORTO                    SANCHEZ                  M00000000          019N
0820230510101900000601200EKHI                     FERRER                   ALONSO                   M00000000          008N
0820230510101900000601200MARÍA PAZ                FERNÁNDEZ                CALLEJA                  F00000000          017N
0820230510101900000601200SANTIAGO                 RODRÍGUEZ                GARZO                    M00000000          011N
0820230510101900000601200VICTORIA                 TRISTÁN                  HORTAS                   F00000000          014N
0820230510103000000104602Mª BELEN                 ARECHAGA                 ALEGRIA                  F00000000          050S
0820230510103000000104602Mª CRUZ                  LEGARDA                  MARQUINEZ                F00000000          043N
0820230510103000000104602Mª SOLEDAD               BEDIA                    OLABE                    F00000000          045N
0820230510103000000104602OSCAR JOSE               FERNÁNDEZ                AGUIRREGABIRIA           M00000000          046S
0820230510103000000205103ANA MARIA                BAROJA                   MARTINEZ DE ALEGRIA      F00000000          026N
0820230510103000000205103IRATI                    RUFRANCOS                SANCHEZ                  F00000000          046S
0820230510103000000205103OSCAR                    KORRES                   LARRAURI                 M00000000          058S
0820230510103000000205103UNAI                     IBAÑEZ                   GUERENABARRENA           M00000000          020N
0820230510103000000205103URTZI                    GAINTZARAIN              GONZALEZ DE DURANA       M00000000          055S
0820230510103000000300400ESTIBALIZ                CANTO                    LLORENTE                 F00000000          004N
0820230510103000000600500ALFREDO                  GARCÍA                   PÉREZ DE LOZA            M00000000          003N
0820230510103000000600500DANIEL                   MARTINEZ                 GONZALEZ                 M00000000          003N
0820230510103000000600500ESMERALDA                NARVÁEZ                  PINEDA                   F00000000          003N
0820230510103000000600500JUAN CARLOS              MARTÍNEZ                 GAINZARAIN               M00000000          012N
0820230510103400000106104IGNACIO                  GALLO                    HERRERA                  M00000000          061S
0820230510103400000106104INMACULADA               LAREDO                   FUENTES                  F00000000          066S
0820230510103400000106104IRATXE                   DIAZ DE GUEREÑU          AGUILLO                  F00000000          051S
0820230510103400000106104JON                      PEREZ                    GARCIA                   M00000000          066S
0820230510103400000305101MARÍA CRISTINA           GONZALEZ                 CALVAR                   F00000000          051S
0820230510103400000600200DIEGO LEON               GUALLART                 ARDANUY                  M00000000          003N
0820230510103400000600200MARÍA CARMEN             HERNÁNDEZ                ALEGRÍA                  F00000000          003N
0820230510103400000600200MIGUEL                   SÁNCHEZ                  OCHARAN                  M00000000          001N
0820230510103400000600200PALOMA                   MORALES                  PERAL                    F00000000          002N
0820230510103900000106304ASIER                    ERASO                    PELAEZ                   M00000000          058S
0820230510103900000106304EUGENIO                  JIMENEZ                  IBAÑEZ                   M00000000          053S
0820230510103900000106304JOSE MARIA               ELVIRA                   CEBALLOS                 M00000000          068S
0820230510103900000106304MARAVILLAS               GARCÍA                   DÍAZ DE CERIO            F00000000          073S
0820230510103900000205301CLAUDIA CECILIA          SOLIZ                    GAMBOA                   F00000000          026N
0820230510103900000205301GORKA                    SANTAMARIA               JIMENEZ                  M00000000          042N
0820230510103900000205301ION                      GARCIA DE OLANO          DIAZ DE CERIO            M00000000          075S
0820230510103900000205301ITZIAR                   MARAURI                  ARANBURU                 F00000000          030N
0820230510103900000205301JUAN IGNACIO             MARAURI                  MARTINEZ DE RITUERTO     M00000000          042N
0820230510103900000304200DANIEL                   SENDEROS                 ORAA                     M00000000          042N
0820230510103900000600700DANIEL                   BLANCO                   ZORZANO                  M00000000          013N
0820230510103900000600700JOSE MARÍA               BOBEDA                   ROT                      M00000000          006N
0820230510103900000600700MARÍA ICIAR              LAMARAIN                 CENITAGOYA               F00000000          006N
0820230510103900000600700MARINELA                 SÁNCHEZ                  GARCÍA                   F00000000          004N
0820230510104100000105803AITOR                    ALONSO                   RUIZ DE URRA             M00000000          060S
0820230510104100000105803EMILIO                   RAMOS                    MARTINEZ DE LAPISCINA    M00000000          057S
0820230510104100000105803LAURA                    MAJUELO                  NAJERA                   F00000000          055N
0820230510104100000105803MIKEL                    FERNANDEZ                CALLEJA                  M00000000          061S
0820230510104100000300600JAVIER                   MARDONES                 GOMEZ MARAÑON            M00000000          006N
0820230510104100000605402ALEJANDRO IBAI           SUAREZ                   ROBLEDO                  M00000000          043N
0820230510104100000605402ANTONIO                  GUZMÁN                   BLANCO                   M00000000          055N
0820230510104100000605402JAVI                     MAJUELO                  ORTIZ DE VIÑASPRE        M00000000          058S
0820230510104100000605402MIGUEL ÁNGEL             FERNÁNDEZ                GONZÁLEZ                 M00000000          063S
0820230510104900000105604GARBIÑE                  MEDINA                   PÉREZ DE NANCLARES       F00000000          056S
0820230510104900000105604JUAN CARLOS              MEDINA                   MARTÍNEZ                 M00000000          062S
0820230510104900000105604KLEMENTE                 PÉREZ DE NANCLARES       ITURRALDE                M00000000          055S
0820230510104900000105604VANESA                   MARTÍNEZ                 FERRERAS                 F00000000          052S
0820230510104900000203501EDUARDO                  LOMA                     VADILLO                  M00000000          035N
0820230510104900000203501JOSEBA                   ANGULO                   GONZALEZ                 M00000000          033N
0820230510104900000203501LANDER                   MAGUREGUI                RUIZ-HIERRO              M00000000          040S
0820230510104900000203501UNAI                     JIMENEZ                  CELADA                   M00000000          035N
0820230510104900000300400PABLO                    DE ORAA                  OLEAGA                   M00000000          004N
0820230510104900000600300JUAN CRUZ                ITURRICHA                IBÁÑEZ                   M00000000          003N
0820230510104900000600300MANOEL BORJA             DE BRITTO                PADILLA                  M00000000          003N
0820230510104900000600300MARIA                    ALDECOA                  ACHA                     F00000000          003N
0820230510104900000600300MIGUEL ÁNGEL             DEVESA                   ZARAGOCI                 M00000000          003N
0820230510105600000105904IKER                     PRADO                    BELTRAN DE HEREDIA       M00000000          062S
0820230510105600000105904JOSE MIGUEL              QUINTANA                 SAN VICENTE              M00000000          059S
0820230510105600000105904LARRAITZ                 WALIÑO                   ARANA                    F00000000          060S
0820230510105600000105904RUFINO                   BERNAL                   SAN VICENTE              M00000000          058S
0820230510105600000204001ALVARO CARLOS            LOPEZ DE ARBINA          IBAÑEZ                   M00000000          042N
0820230510105600000204001GREGORIO                 PEREZ DE EULATE          CHASCO                   M00000000          038N
0820230510105600000204001JOSU ANDONI              MURGUIALDAY              BARRENA "KARPIN"         M00000000          041N
0820230510105600000204001SERGIO                   NOVOA                    ARRONIZ                  M00000000          042S
0820230510105600000300100JULIO                    RODRIGUEZ                CABEZAS                  M00000000          001N
0820230510105600000600300ANTÓN                    SÁENZ DE SANTA MARÍA     MUNIATEGUI               M00000000          004N
0820230510105600000600300CAROLINA                 ÁLVAREZ                  MOLINUEVO                F00000000          003N
0820230510105600000600300DIEGO                    GUERRERO                 VIVAR                    M00000000          003N
0820230510105600000600300PABLO                    HERMOSA                  VIDALLO                  M00000000          003N
0820230510106000000108604ALFREDO                  ARGUIJO                  ECHAZARRETA              M00000000          096S
0820230510106000000108604ELISA                    VAZQUEZ                  FERNANDEZ                F00000000          090S
0820230510106000000108604SABINA                   GONZALEZ                 OLAZAGOITIA              F00000000          089S
0820230510106000000108604TAMARA                   CASTAÑOS                 VERANO                   F00000000          072S
0820230510106000000304100GORKA                    ARGUIJO                  IZCO                     M00000000          041N
0820230510106000000605801ARANCHA                  MORALES                  PERAL                    F00000000          058N
0820230510106000000605801JORGE                    IBARRONDO                BAJO                     M00000000          059S
0820230510106000000605801PILAR                    CALVO                    ORIVE                    F00000000          058N
0820230510106000000605801RAÚL                     HIDALGO                  PÉREZ                    M00000000          058N
0820230510106100000209405ANA MARIA                SAEZ DE VICUÑA           GARCIA DE ANDOIN         F00000000          064S
